"","cntry","essround","rlgblg","rlgdnm","gndr"
"1","AT",11,1,1,1
"2","AT",11,2,66,2
"3","AT",11,2,66,2
"4","AT",11,1,3,2
"5","AT",11,1,1,1
"6","AT",11,1,1,2
"7","AT",11,1,1,2
"8","AT",11,1,1,2
"9","AT",11,1,1,2
"10","AT",11,1,1,2
"11","AT",11,1,1,2
"12","AT",11,1,6,1
"13","AT",11,1,1,2
"14","AT",11,1,1,2
"15","AT",11,2,66,2
"16","AT",11,1,1,2
"17","AT",11,1,2,1
"18","AT",11,1,1,2
"19","AT",11,2,66,1
"20","AT",11,2,66,1
"21","AT",11,1,1,2
"22","AT",11,1,1,1
"23","AT",11,2,66,1
"24","AT",11,2,66,1
"25","AT",11,1,1,2
"26","AT",11,2,66,2
"27","AT",11,1,1,2
"28","AT",11,1,1,2
"29","AT",11,1,1,2
"30","AT",11,2,66,2
"31","AT",11,1,1,2
"32","AT",11,2,66,1
"33","AT",11,1,1,2
"34","AT",11,2,66,2
"35","AT",11,2,66,2
"36","AT",11,1,1,2
"37","AT",11,1,3,2
"38","AT",11,1,1,2
"39","AT",11,1,1,1
"40","AT",11,1,1,1
"41","AT",11,1,1,2
"42","AT",11,1,1,2
"43","AT",11,2,66,2
"44","AT",11,1,1,2
"45","AT",11,1,1,1
"46","AT",11,2,66,1
"47","AT",11,1,1,2
"48","AT",11,2,66,1
"49","AT",11,1,1,1
"50","AT",11,1,1,2
"51","AT",11,2,66,1
"52","AT",11,1,1,1
"53","AT",11,1,2,2
"54","AT",11,1,1,1
"55","AT",11,1,1,2
"56","AT",11,2,66,2
"57","AT",11,1,1,2
"58","AT",11,1,3,2
"59","AT",11,1,99,1
"60","AT",11,1,1,2
"61","AT",11,2,66,2
"62","AT",11,2,66,1
"63","AT",11,1,1,1
"64","AT",11,2,66,2
"65","AT",11,1,1,2
"66","AT",11,1,1,2
"67","AT",11,1,1,1
"68","AT",11,1,1,1
"69","AT",11,1,1,2
"70","AT",11,1,2,1
"71","AT",11,1,1,1
"72","AT",11,1,1,2
