"","essround","cntry","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","netuse","agea","gndr"
"1",2,"BE",2,3,2,2,1,2,1,42,1
"2",2,"BE",1,1,3,7,5,5,3,46,1
"3",2,"BE",2,3,3,4,6,3,7,56,1
"4",2,"BE",2,2,2,10,10,5,5,58,2
"5",2,"BE",2,4,3,3,3,3,0,60,2
"6",2,"BE",1,1,1,8,10,10,0,49,2
"7",2,"BE",2,2,3,5,5,5,6,41,1
"8",2,"BE",3,3,3,2,2,2,0,30,1
"9",2,"BE",3,2,2,3,7,5,0,78,1
"10",2,"BE",1,2,2,4,6,5,2,45,1
"11",2,"BE",1,2,2,5,5,6,7,45,1
"12",2,"BE",1,2,3,2,5,5,0,69,1
"13",2,"BE",1,2,3,5,7,6,0,67,1
"14",2,"BE",2,3,3,3,6,2,0,61,1
"15",2,"BE",1,4,3,1,1,1,0,67,1
"16",2,"BE",3,4,3,2,5,3,0,42,1
"17",2,"BE",1,1,1,8,7,8,4,29,1
"18",2,"BE",2,2,2,4,6,6,0,63,2
"19",2,"BE",2,2,1,3,1,6,1,84,1
"20",2,"BE",3,3,3,5,6,9,0,34,1
"21",2,"BE",3,4,4,3,4,2,7,18,1
"22",2,"BE",1,2,1,8,6,8,0,65,1
"23",2,"BE",2,3,3,0,2,10,7,38,1
"24",2,"BE",2,2,2,3,3,5,0,23,2
"25",2,"BE",2,2,2,6,8,8,4,39,1
"26",2,"BE",2,2,2,6,8,5,7,45,2
"27",2,"BE",2,2,4,0,88,7,1,73,2
"28",2,"BE",2,2,2,5,6,5,7,16,1
"29",2,"BE",2,2,2,3,4,3,1,65,1
"30",2,"BE",2,3,3,3,5,2,1,63,2
"31",2,"BE",1,1,1,7,7,4,6,56,1
"32",2,"BE",2,2,2,6,8,8,1,69,2
"33",2,"BE",1,8,1,88,88,88,0,27,1
"34",2,"BE",1,1,1,7,8,7,7,19,1
"35",2,"BE",2,2,2,5,6,0,2,71,2
"36",2,"BE",1,1,2,6,7,5,0,72,2
"37",2,"BE",1,1,1,5,7,10,7,35,1
"38",2,"BE",1,1,2,6,6,4,7,46,1
"39",2,"BE",2,2,2,8,8,8,7,34,2
"40",2,"BE",2,4,4,2,1,1,0,50,1
"41",2,"BE",2,2,2,1,4,3,7,56,1
"42",2,"BE",1,1,1,7,8,5,5,36,1
"43",2,"BE",1,2,2,7,8,8,0,70,2
"44",2,"BE",1,3,3,3,6,3,0,70,2
"45",2,"BE",3,3,3,7,3,4,7,18,1
"46",2,"BE",1,1,1,6,8,8,7,51,2
"47",2,"BE",1,1,1,5,7,5,7,52,1
"48",2,"BE",2,2,2,5,7,5,7,45,1
"49",2,"BE",2,3,3,3,5,3,7,50,2
"50",2,"BE",2,2,2,5,5,5,0,60,1
"51",2,"BE",1,1,1,10,10,10,0,32,1
"52",2,"BE",1,2,2,5,10,5,0,76,2
"53",2,"BE",1,1,1,5,9,7,7,26,2
"54",2,"BE",2,2,3,5,10,77,7,30,1
"55",2,"BE",2,2,2,5,7,7,4,55,2
"56",2,"BE",1,1,1,7,8,7,4,36,2
"57",2,"BE",4,4,4,4,4,5,1,66,2
"58",2,"BE",2,2,2,5,10,9,1,24,1
"59",2,"BE",2,3,8,0,88,3,1,74,2
"60",2,"BE",2,3,3,6,9,5,6,20,2
"61",2,"BE",3,4,3,1,0,0,6,19,2
"62",2,"BE",2,3,3,3,6,4,0,22,1
"63",2,"BE",2,2,3,3,6,3,7,43,1
"64",2,"BE",3,3,3,4,5,5,6,48,2
"65",2,"BE",2,2,3,3,6,5,5,39,1
"66",2,"BE",2,2,3,1,6,4,5,44,1
"67",2,"BE",2,2,2,5,8,5,0,53,1
"68",2,"BE",2,2,2,8,8,8,0,75,2
"69",2,"BE",2,2,4,6,7,2,1,66,2
"70",2,"BE",2,2,2,6,9,5,5,27,1
"71",2,"BE",1,1,1,7,8,5,7,48,1
"72",2,"BE",3,3,3,5,7,6,2,28,2
"73",2,"BE",2,2,3,7,6,5,1,43,2
"74",2,"BE",4,4,4,0,0,0,0,62,2
"75",2,"BE",3,3,3,10,7,5,5,22,2
"76",2,"BE",2,2,2,1,9,5,7,49,2
"77",2,"BE",7,7,7,77,77,6,1,45,1
"78",2,"BE",1,2,2,8,8,8,7,37,1
"79",2,"BE",3,3,3,5,7,5,1,61,1
"80",2,"BE",3,4,4,0,1,1,0,69,2
"81",2,"BE",2,3,3,1,10,4,7,20,1
"82",2,"BE",2,2,2,4,7,4,1,62,2
"83",2,"BE",2,2,3,3,7,6,7,56,1
"84",2,"BE",2,8,3,6,3,3,7,69,1
"85",2,"BE",2,3,3,5,9,5,2,46,1
"86",2,"BE",3,3,3,3,8,3,0,39,2
"87",2,"BE",4,4,4,1,1,0,0,34,2
"88",2,"BE",3,3,3,6,7,2,7,43,1
"89",2,"BE",3,3,3,5,3,1,6,16,2
"90",2,"BE",3,3,4,2,6,5,5,53,2
"91",2,"BE",3,3,3,1,5,2,1,48,2
"92",2,"BE",3,3,3,2,5,3,7,28,2
"93",2,"BE",1,1,3,4,9,5,7,20,1
"94",2,"BE",1,3,3,4,7,4,7,50,2
"95",2,"BE",3,3,3,5,5,6,6,55,1
"96",2,"BE",2,3,2,5,5,5,0,69,1
"97",2,"BE",2,3,3,5,7,5,7,35,2
"98",2,"BE",2,2,2,7,8,5,7,61,1
"99",2,"BE",3,4,4,6,88,5,0,59,2
"100",2,"BE",3,3,3,5,0,0,6,34,1
"101",2,"BE",2,2,2,1,0,0,7,39,1
"102",2,"BE",2,3,3,8,3,3,6,44,1
"103",2,"BE",2,4,4,5,7,3,1,54,2
"104",2,"BE",1,1,2,7,7,9,7,27,1
"105",2,"BE",3,3,3,1,0,1,7,21,1
"106",2,"BE",1,2,2,6,8,5,6,19,1
"107",2,"BE",2,2,3,3,88,0,0,68,2
