"essround","cntry","agea","gndr","yrbrn","eisced","eiscedf","eiscedm","facntr","mocntr","brncntr"
4,"BE",36,1,1972,6,6,4,1,1,1
4,"BE",26,2,1982,6,4,3,1,1,1
4,"BE",69,1,1940,7,4,1,2,2,2
4,"BE",77,2,1931,6,7,3,1,1,1
4,"BE",27,1,1982,4,2,4,1,1,1
4,"BE",32,2,1976,4,4,4,2,2,2
4,"BE",19,2,1989,1,4,4,2,2,1
4,"BE",28,2,1980,6,7,4,1,1,1
4,"BE",49,1,1959,6,3,2,1,1,1
4,"BE",57,1,1952,7,4,1,1,1,1
4,"BE",71,2,1938,7,2,1,2,2,2
4,"BE",83,2,1926,7,4,4,1,1,1
4,"BE",46,2,1963,2,1,1,2,2,2
4,"BE",61,2,1948,6,2,2,2,2,2
4,"BE",68,2,1941,2,2,2,1,1,1
4,"BE",62,1,1947,3,2,2,2,1,1
4,"BE",23,1,1985,3,3,1,1,1,1
4,"BE",64,1,1944,2,3,88,1,1,1
4,"BE",64,1,1944,4,2,4,1,1,1
4,"BE",45,1,1963,3,2,2,1,1,1
4,"BE",54,2,1955,4,1,1,1,1,1
4,"BE",18,2,1990,2,1,1,2,2,1
4,"BE",58,2,1951,4,3,4,1,1,1
4,"BE",30,1,1979,4,3,2,1,1,1
4,"BE",56,1,1953,7,7,1,2,2,2
4,"BE",56,2,1953,6,6,6,1,1,1
4,"BE",67,1,1942,7,1,1,1,1,1
4,"BE",54,1,1955,4,2,2,1,1,1
4,"BE",25,1,1984,7,6,6,2,2,2
4,"BE",40,1,1969,4,3,1,1,1,1
4,"BE",48,2,1961,6,4,6,1,1,1
4,"BE",71,1,1938,4,88,88,1,1,1
4,"BE",79,2,1929,4,1,1,1,1,1
4,"BE",27,1,1981,7,7,7,1,1,1
4,"BE",64,2,1944,1,88,3,1,1,1
4,"BE",32,2,1976,4,3,4,1,1,1
4,"BE",17,2,1991,2,6,3,2,2,2
4,"BE",39,2,1969,7,6,6,1,1,1
4,"BE",54,2,1954,7,7,6,1,1,1
4,"BE",59,1,1949,1,1,1,2,2,2
4,"BE",80,2,1929,4,6,4,1,1,1
4,"BE",24,1,1984,3,4,3,1,1,1
4,"BE",49,1,1960,4,1,88,1,1,1
4,"BE",23,2,1986,4,2,2,1,1,1
4,"BE",33,1,1976,4,1,1,2,2,2
4,"BE",46,2,1963,7,7,7,2,2,2
4,"BE",65,1,1943,4,88,1,1,1,1
4,"BE",40,1,1968,3,88,2,1,1,1
4,"BE",51,2,1957,1,2,1,2,2,2
4,"BE",60,2,1948,3,88,88,1,1,1
4,"BE",83,2,1925,1,1,1,1,1,1
4,"BE",52,1,1956,7,7,4,1,1,1
4,"BE",74,1,1934,55,1,1,1,1,1
4,"BE",18,1,1990,4,7,6,1,1,1
4,"BE",66,2,1942,2,1,3,1,1,1
4,"BE",64,1,1944,2,1,1,1,1,1
4,"BE",41,1,1967,7,1,3,1,1,1
4,"BE",53,1,1955,7,7,6,1,1,1
4,"BE",19,2,1989,4,6,4,1,1,1
4,"BE",37,2,1971,3,4,2,1,1,1
4,"BE",61,2,1947,2,2,2,1,1,1
4,"BE",68,1,1940,2,1,1,1,1,1
4,"BE",33,1,1975,7,2,2,2,2,2
4,"BE",45,1,1963,2,4,2,1,1,1
4,"BE",25,2,1983,4,88,88,1,1,1
4,"BE",56,1,1952,2,4,4,1,1,1
4,"BE",50,1,1958,4,1,1,1,1,1
4,"BE",63,1,1945,7,7,4,1,1,1
4,"BE",73,1,1935,6,4,88,2,1,1
4,"BE",18,1,1990,2,6,4,1,2,1
4,"BE",43,1,1965,7,6,6,2,2,2
4,"BE",85,1,1923,2,1,1,1,1,1
4,"BE",52,2,1956,7,7,4,1,1,1
4,"BE",56,1,1952,1,88,1,1,1,1
4,"BE",21,2,1987,6,6,6,1,1,1
4,"BE",81,2,1927,6,6,2,1,1,1
4,"BE",21,1,1987,4,4,3,1,1,1
4,"BE",50,1,1958,4,2,2,2,2,2
4,"BE",63,1,1945,1,1,1,1,1,1
4,"BE",15,2,1993,2,4,7,1,2,1
4,"BE",31,2,1977,4,4,4,1,1,1
4,"BE",37,1,1971,2,4,2,1,1,1
4,"BE",45,2,1963,2,2,2,1,1,1
4,"BE",74,2,1934,1,1,1,1,1,1
4,"BE",51,1,1957,7,7,6,1,1,1
4,"BE",23,1,1985,2,3,4,1,1,1
4,"BE",32,1,1976,4,3,2,1,1,1
4,"BE",40,1,1968,7,88,6,1,1,1
4,"BE",46,1,1962,4,88,3,1,1,1
4,"BE",77,1,1931,2,2,1,1,1,1
4,"BE",18,1,1991,1,6,3,1,1,1
4,"BE",19,2,1990,4,4,6,1,1,1
4,"BE",42,2,1967,6,2,1,1,1,1
4,"BE",67,2,1942,4,4,1,1,1,1
4,"BE",44,1,1964,6,7,4,1,1,1
4,"BE",55,1,1953,2,1,1,1,1,1
4,"BE",21,2,1987,4,6,6,1,1,1
4,"BE",28,1,1980,6,4,4,1,1,1
4,"BE",50,2,1958,4,3,2,1,1,1
4,"BE",63,2,1945,6,4,2,1,2,1
4,"BE",90,2,1918,2,2,2,1,1,1
4,"BE",47,1,1962,2,2,2,1,1,1
4,"BE",17,1,1992,1,3,3,1,1,1
4,"BE",54,2,1955,4,2,2,1,1,1
4,"BE",59,1,1950,1,1,1,1,1,1
4,"BE",70,2,1939,1,1,1,1,1,1
4,"BE",44,1,1964,7,4,4,2,1,1
4,"BE",62,1,1946,4,4,2,2,2,2
4,"BE",24,1,1984,6,6,6,1,1,1
4,"BE",50,1,1958,7,1,2,1,1,1
4,"BE",55,1,1953,6,4,4,1,2,1
4,"BE",70,1,1938,7,1,1,1,1,1
4,"BE",17,1,1991,2,6,6,1,1,1
4,"BE",45,2,1963,4,4,4,2,2,1
4,"BE",64,2,1945,6,3,3,1,1,1
4,"BE",19,2,1990,4,7,7,1,1,1
4,"BE",38,2,1970,6,7,4,1,1,1
4,"BE",79,2,1929,1,1,1,1,1,1
4,"BE",52,1,1957,7,4,2,1,1,1
4,"BE",77,1,1932,1,1,1,1,1,1
4,"BE",40,1,1969,6,6,88,1,1,1
4,"BE",46,1,1963,2,1,1,1,1,1
4,"BE",67,1,1942,4,6,4,1,2,1
4,"BE",54,2,1955,6,3,4,1,1,1
4,"BE",18,2,1991,2,7,7,1,1,1
4,"BE",26,2,1983,6,6,4,1,1,1
4,"BE",60,2,1949,7,6,4,1,1,1
4,"BE",68,2,1941,1,88,88,1,1,1
4,"BE",50,1,1958,7,4,4,1,1,1
4,"BE",63,1,1945,4,1,1,1,1,1
4,"BE",18,2,1990,4,7,6,1,1,1
4,"BE",33,2,1975,4,4,6,1,1,1
4,"BE",45,2,1963,4,3,2,1,1,1
4,"BE",76,2,1932,2,2,2,1,1,1
4,"BE",38,1,1971,3,88,88,1,1,1
4,"BE",63,1,1946,6,1,1,1,1,1
4,"BE",16,2,1993,2,4,4,1,1,1
4,"BE",32,2,1977,6,3,2,1,1,1
4,"BE",45,2,1964,6,6,1,1,1,1
4,"BE",50,1,1959,3,1,1,1,1,1
4,"BE",33,2,1975,3,88,88,1,1,1
4,"BE",42,1,1966,6,1,1,2,2,1
4,"BE",55,2,1953,7,4,2,1,1,1
4,"BE",63,1,1945,7,4,2,2,1,1
4,"BE",51,2,1957,6,2,1,1,1,1
4,"BE",50,1,1958,4,2,2,1,1,1
4,"BE",49,2,1959,2,6,1,1,1,1
4,"BE",25,1,1983,7,7,6,1,1,1
4,"BE",51,1,1957,4,1,2,1,1,1
4,"BE",16,2,1992,2,2,1,1,1,1
4,"BE",33,2,1975,6,4,4,1,1,1
4,"BE",40,1,1968,3,1,1,1,1,1
4,"BE",46,2,1962,3,1,1,1,1,1
4,"BE",59,2,1949,2,4,2,1,1,1
4,"BE",67,1,1941,3,1,1,1,1,1
4,"BE",48,1,1961,2,1,1,1,1,1
4,"BE",51,2,1958,1,88,1,1,1,1
4,"BE",92,1,1917,1,1,1,1,1,1
4,"BE",28,1,1981,2,88,4,1,1,1
4,"BE",34,2,1975,3,88,88,1,1,1
4,"BE",71,1,1937,1,1,1,1,1,1
4,"BE",43,2,1965,7,4,4,1,1,1
4,"BE",48,1,1961,4,1,4,1,1,1
4,"BE",65,2,1944,1,1,4,1,1,1
4,"BE",22,2,1987,4,1,1,2,2,1
4,"BE",30,2,1979,6,7,6,1,1,1
4,"BE",50,2,1959,2,1,1,1,1,1
4,"BE",57,2,1952,4,2,2,1,1,1
4,"BE",74,2,1935,4,6,2,1,1,1
4,"BE",84,2,1925,2,3,1,1,1,1
4,"BE",20,1,1988,4,1,4,2,2,1
4,"BE",62,1,1946,6,4,1,1,1,1
4,"BE",76,1,1932,1,1,1,1,1,1
4,"BE",34,2,1975,7,2,3,2,2,2
4,"BE",18,2,1990,4,7,4,1,1,1
4,"BE",27,2,1982,6,3,88,1,1,1
4,"BE",60,2,1949,2,1,1,1,1,1
4,"BE",42,2,1967,4,7,6,1,1,1
4,"BE",59,1,1950,2,1,1,1,1,1
